strategy,count,delta,kappa,sim,seed
IL,106.9488,0.96,0.4,760,45
MF,13.0512,0.96,0.4,760,45
IL,29.1132,0.15,0.4,761,49
MF,90.8868,0.15,0.4,761,49
IL,52.0676,0.39,0.4,762,48
MF,67.9324,0.39,0.4,762,48
IL,105.2548,0.96,0.4,763,51
MF,14.7452,0.96,0.4,763,51
IL,31.2508,0.18,0.4,764,43
MF,88.7492,0.18,0.4,764,43
IL,101.5752,0.66,0.4,765,43
MF,18.4248,0.66,0.4,765,43
IL,74.0348,0.47,0.4,766,48
MF,45.9652,0.47,0.4,766,48
IL,109.2728,0.98,0.4,767,46
MF,10.7272,0.98,0.4,767,46
IL,11.14,0.05,0.4,768,49
MF,108.86,0.05,0.4,768,49
IL,42.1388,0.3,0.4,769,50
MF,77.8612,0.3,0.4,769,50
IL,107.1368,0.86,0.4,770,45
MF,12.8632,0.86,0.4,770,45
IL,42.4828,0.24,0.4,771,42
MF,77.5172,0.24,0.4,771,42
IL,27.928,0.08,0.4,772,43
MF,92.072,0.08,0.4,772,43
IL,46.6084,0.3,0.4,773,44
MF,73.3916,0.3,0.4,773,44
IL,99.6724,0.86,0.4,774,51
MF,20.3276,0.86,0.4,774,51
IL,47.5616,0.29,0.4,775,48
MF,72.4384,0.29,0.4,775,48
IL,88.9476,0.72,0.4,776,44
MF,31.0524,0.72,0.4,776,44
IL,96.4176,0.72,0.4,777,50
MF,23.5824,0.72,0.4,777,50
IL,19.7216,0.02,0.4,778,47
MF,100.2784,0.02,0.4,778,47
IL,110.7104,0.92,0.4,779,42
MF,9.2896,0.92,0.4,779,42
IL,114.708,1.0,0.4,780,50
MF,5.413256955810147,1.0,0.4,780,50
IL,101.948,1.0,0.4,781,44
MF,18.052,1.0,0.4,781,44
IL,42.1356,0.26,0.4,782,45
MF,77.8644,0.26,0.4,782,45
IL,96.5384,0.84,0.4,783,42
MF,23.4616,0.84,0.4,783,42
IL,26.9904,0.1,0.4,784,43
MF,93.0096,0.1,0.4,784,43
IL,69.872,0.56,0.4,785,46
MF,50.128,0.56,0.4,785,46
IL,49.3712,0.26,0.4,786,51
MF,70.6288,0.26,0.4,786,51
IL,97.8652,0.89,0.4,787,48
MF,23.597867803837953,0.89,0.4,787,48
IL,26.7764,0.14,0.4,788,47
MF,93.2236,0.14,0.4,788,47
IL,74.4384,0.48,0.4,789,45
MF,45.5616,0.48,0.4,789,45
IL,75.5376,0.64,0.4,790,50
MF,44.4624,0.64,0.4,790,50
IL,81.736,0.64,0.4,791,44
MF,38.264,0.64,0.4,791,44
IL,50.9876,0.38,0.4,792,46
MF,69.0124,0.38,0.4,792,46
IL,74.0612,0.48,0.4,793,51
MF,45.9388,0.48,0.4,793,51
IL,18.916631578947367,0.13,0.4,794,49
MF,102.0292,0.13,0.4,794,49
IL,42.0268,0.32,0.4,795,42
MF,77.9732,0.32,0.4,795,42
IL,92.3904,0.51,0.4,796,48
MF,27.6096,0.51,0.4,796,48
IL,75.9804,0.51,0.4,797,49
MF,44.0196,0.51,0.4,797,49
IL,17.1572,0.13,0.4,798,48
MF,102.8428,0.13,0.4,798,48
IL,47.5896,0.32,0.4,799,43
MF,72.4104,0.32,0.4,799,43
IL,82.386,0.48,0.4,800,50
MF,37.614,0.48,0.4,800,50
IL,59.7096,0.38,0.4,801,47
MF,60.2904,0.38,0.4,801,47
IL,77.354,0.64,0.4,802,45
MF,42.646,0.64,0.4,802,45
IL,74.3456,0.64,0.4,803,51
MF,45.6544,0.64,0.4,803,51
IL,74.4668,0.48,0.4,804,44
MF,45.5332,0.48,0.4,804,44
IL,32.0316,0.14,0.4,805,46
MF,87.9684,0.14,0.4,805,46
IL,21.7476,0.1,0.4,806,42
MF,98.2524,0.1,0.4,806,42
IL,98.2364,0.89,0.4,807,49
MF,21.7636,0.89,0.4,807,49
IL,36.5764,0.26,0.4,808,50
MF,83.4236,0.26,0.4,808,50
IL,74.0396,0.56,0.4,809,47
MF,45.9604,0.56,0.4,809,47
IL,36.2584,0.26,0.4,810,44
MF,83.7416,0.26,0.4,810,44
IL,101.0756,0.84,0.4,811,43
MF,18.9244,0.84,0.4,811,43
IL,108.868,1.0,0.4,812,45
MF,11.132,1.0,0.4,812,45
IL,100.5328,1.0,0.4,813,51
MF,19.4672,1.0,0.4,813,51
IL,97.6104,0.92,0.4,814,43
MF,22.3896,0.92,0.4,814,43
IL,12.3052,0.02,0.4,815,46
MF,107.6948,0.02,0.4,815,46
IL,95.5584,0.72,0.4,816,51
MF,24.4416,0.72,0.4,816,51
IL,96.5228,0.72,0.4,817,45
MF,23.4772,0.72,0.4,817,45
IL,22.704,0.08,0.4,818,42
MF,97.296,0.08,0.4,818,42
IL,49.5468,0.29,0.4,819,49
MF,70.4532,0.29,0.4,819,49
IL,108.7448,0.86,0.4,820,50
MF,11.2552,0.86,0.4,820,50
IL,42.9716,0.3,0.4,821,45
MF,77.0284,0.3,0.4,821,45
IL,102.1144,0.86,0.4,822,44
MF,17.8856,0.86,0.4,822,44
IL,42.2832,0.3,0.4,823,51
MF,77.7168,0.3,0.4,823,51
IL,17.238,0.05,0.4,824,48
MF,102.762,0.05,0.4,824,48
IL,48.5068,0.24,0.4,825,43
MF,71.4932,0.24,0.4,825,43
IL,77.6484,0.66,0.4,826,42
MF,42.3516,0.66,0.4,826,42
IL,104.5808,0.98,0.4,827,47
MF,15.4192,0.98,0.4,827,47
IL,51.5628,0.47,0.4,828,49
MF,68.4372,0.47,0.4,828,49
IL,105.452,0.98,0.4,829,45
MF,14.548,0.98,0.4,829,45
IL,17.5828,0.16,0.4,830,43
MF,102.4172,0.16,0.4,830,43
IL,41.2584,0.37,0.4,831,48
MF,78.7416,0.37,0.4,831,48
IL,107.7916,0.98,0.4,832,51
MF,12.2084,0.98,0.4,832,51
IL,90.1768,0.75,0.4,833,49
MF,29.8232,0.75,0.4,833,49
IL,40.54,0.3,0.4,834,47
MF,79.46,0.3,0.4,834,47
IL,71.5964,0.54,0.4,835,42
MF,48.4036,0.54,0.4,835,42
IL,83.6588,0.78,0.4,836,43
MF,36.3412,0.78,0.4,836,43
IL,78.9508,0.59,0.4,837,48
MF,41.0492,0.59,0.4,837,48
IL,108.0476,0.86,0.4,838,46
MF,11.9524,0.86,0.4,838,46
IL,103.5128,0.9,0.4,839,43
MF,16.4872,0.9,0.4,839,43
IL,94.9656,0.81,0.4,840,48
MF,25.0344,0.81,0.4,840,48
IL,16.3912,0.02,0.4,841,44
MF,103.6088,0.02,0.4,841,44
IL,16.1904,0.02,0.4,842,50
MF,103.8096,0.02,0.4,842,50
IL,70.1028,0.4,0.4,843,49
MF,49.8972,0.4,0.4,843,49
IL,107.7596,0.72,0.4,844,47
MF,12.2404,0.72,0.4,844,47
IL,112.2512,1.0,0.4,845,47
MF,7.7488,1.0,0.4,845,47
IL,81.0192,0.56,0.4,846,45
MF,38.9808,0.56,0.4,846,45
IL,41.1792,0.26,0.4,847,46
MF,78.8208,0.26,0.4,847,46
IL,80.2936,0.56,0.4,848,51
MF,39.7064,0.56,0.4,848,51
IL,87.6996,0.64,0.4,849,47
MF,32.3004,0.64,0.4,849,47
IL,49.5696,0.38,0.4,850,45
MF,70.4304,0.38,0.4,850,45
IL,33.3432,0.14,0.4,851,50
MF,86.6568,0.14,0.4,851,50
IL,21.3716,0.14,0.4,852,44
MF,98.6284,0.14,0.4,852,44
IL,75.7112,0.48,0.4,853,46
MF,44.2888,0.48,0.4,853,46
IL,109.1668,0.97,0.4,854,48
MF,10.8332,0.97,0.4,854,48
IL,53.4756,0.38,0.4,855,51
MF,66.5244,0.38,0.4,855,51
IL,92.6464,0.63,0.4,856,49
MF,27.3536,0.63,0.4,856,49
IL,57.5196,0.42,0.4,857,42
MF,62.4804,0.42,0.4,857,42
IL,21.5744,0.21,0.4,858,48
MF,98.4256,0.21,0.4,858,48
IL,44.3444,0.21,0.4,859,49
MF,75.6556,0.21,0.4,859,49
IL,87.6784,0.63,0.4,860,48
MF,32.3216,0.63,0.4,860,48
IL,52.8828,0.42,0.4,861,43
MF,67.1172,0.42,0.4,861,43
IL,64.7336,0.38,0.4,862,50
MF,55.2664,0.38,0.4,862,50
IL,108.342,0.97,0.4,863,49
MF,11.658,0.97,0.4,863,49
IL,73.6484,0.48,0.4,864,47
MF,46.3516,0.48,0.4,864,47
IL,38.2404,0.14,0.4,865,45
MF,81.7596,0.14,0.4,865,45
IL,30.6496,0.14,0.4,866,51
MF,89.3504,0.14,0.4,866,51
IL,65.8876,0.38,0.4,867,44
MF,54.1124,0.38,0.4,867,44
IL,71.8368,0.64,0.4,868,46
MF,48.1632,0.64,0.4,868,46
IL,74.954,0.56,0.4,869,50
MF,45.046,0.56,0.4,869,50
IL,54.5256,0.26,0.4,870,47
MF,65.4744,0.26,0.4,870,47
IL,67.6648,0.56,0.4,871,44
MF,52.3352,0.56,0.4,871,44
IL,94.3864,1.0,0.4,872,46
MF,25.6136,1.0,0.4,872,46
IL,94.8924,0.72,0.4,873,46
MF,25.1076,0.72,0.4,873,46
IL,58.6048,0.4,0.4,874,48
MF,61.3952,0.4,0.4,874,48
IL,9.324,0.02,0.4,875,51
MF,110.676,0.02,0.4,875,51
IL,103.0708,0.9,0.4,876,42
MF,16.9292,0.9,0.4,876,42
IL,14.6384,0.02,0.4,877,45
MF,105.3616,0.02,0.4,877,45
IL,103.0996,0.81,0.4,878,49
MF,16.9004,0.81,0.4,878,49
IL,98.672,0.78,0.4,879,42
MF,21.328,0.78,0.4,879,42
IL,89.9924,0.86,0.4,880,47
MF,30.0076,0.86,0.4,880,47
IL,85.6896,0.59,0.4,881,49
MF,34.3104,0.59,0.4,881,49
IL,50.5712,0.3,0.4,882,46
MF,69.4288,0.3,0.4,882,46
IL,100.004,0.75,0.4,883,48
MF,19.996,0.75,0.4,883,48
IL,91.6944,0.54,0.4,884,43
MF,28.3056,0.54,0.4,884,43
IL,20.4484,0.16,0.4,885,42
MF,99.5516,0.16,0.4,885,42
IL,100.6864,0.98,0.4,886,50
MF,19.3136,0.98,0.4,886,50
IL,45.1728,0.37,0.4,887,49
MF,74.8272,0.37,0.4,887,49
IL,108.2656,0.98,0.4,888,44
MF,11.7344,0.98,0.4,888,44
IL,52.1912,0.24,0.4,889,50
MF,67.8088,0.24,0.4,889,50
IL,18.6908,0.08,0.4,890,45
MF,101.3092,0.08,0.4,890,45
IL,76.7884,0.54,0.4,891,47
MF,43.2116,0.54,0.4,891,47
IL,45.1492,0.3,0.4,892,42
MF,74.8508,0.3,0.4,892,42
IL,95.8704,0.86,0.4,893,43
MF,24.1296,0.86,0.4,893,43
IL,20.0212,0.08,0.4,894,51
MF,99.9788,0.08,0.4,894,51
IL,91.1728,0.78,0.4,895,46
MF,28.8272,0.78,0.4,895,46
IL,37.214,0.24,0.4,896,44
MF,82.786,0.24,0.4,896,44
IL,77.4436,0.66,0.4,897,45
MF,42.5564,0.66,0.4,897,45
IL,96.6176,0.66,0.4,898,51
MF,23.3824,0.66,0.4,898,51
IL,23.5472,0.16,0.4,899,46
MF,96.4528,0.16,0.4,899,46
IL,29.1184,0.11,0.4,900,48
MF,90.8816,0.11,0.4,900,48
IL,103.4424,0.92,0.4,901,44
MF,16.5576,0.92,0.4,901,44
IL,105.6776,0.92,0.4,902,50
MF,14.3224,0.92,0.4,902,50
IL,100.4504,0.9,0.4,903,46
MF,19.5496,0.9,0.4,903,46
IL,76.6424,0.53,0.4,904,49
MF,43.3576,0.53,0.4,904,49
IL,99.7016,0.72,0.4,905,42
MF,20.2984,0.72,0.4,905,42
IL,101.7168,1.0,0.4,906,42
MF,18.2832,1.0,0.4,906,42
IL,78.266,0.45,0.4,907,49
MF,41.734,0.45,0.4,907,49
IL,91.5072,0.64,0.4,908,42
MF,28.4928,0.64,0.4,908,42
IL,47.3152,0.48,0.4,909,43
MF,72.6848,0.48,0.4,909,43
IL,103.2444,0.69,0.4,910,48
MF,16.7556,0.69,0.4,910,48
IL,31.8016,0.1,0.4,911,45
MF,88.1984,0.1,0.4,911,45
IL,105.7604,0.84,0.4,912,50
MF,14.2396,0.84,0.4,912,50
IL,34.4704,0.26,0.4,913,43
MF,85.5296,0.26,0.4,913,43
IL,19.7532,0.1,0.4,914,51
MF,100.2468,0.1,0.4,914,51
IL,90.3696,0.84,0.4,915,44
MF,29.6304,0.84,0.4,915,44
IL,19.5012,0.07,0.4,916,48
MF,100.4988,0.07,0.4,916,48
IL,43.1444,0.32,0.4,917,44
MF,76.8556,0.32,0.4,917,44
IL,70.7348,0.42,0.4,918,47
MF,49.2652,0.42,0.4,918,47
IL,51.0368,0.32,0.4,919,50
MF,68.9632,0.32,0.4,919,50
IL,34.734,0.32,0.4,920,51
MF,85.266,0.32,0.4,920,51
IL,69.4556,0.42,0.4,921,46
MF,50.5444,0.42,0.4,921,46
IL,49.9216,0.32,0.4,922,45
MF,70.0784,0.32,0.4,922,45
IL,43.8644,0.26,0.4,923,42
MF,76.1356,0.26,0.4,923,42
IL,19.1024,0.07,0.4,924,49
MF,100.8976,0.07,0.4,924,49
IL,106.3112,0.84,0.4,925,45
MF,13.6888,0.84,0.4,925,45
IL,24.6284,0.1,0.4,926,50
MF,95.3716,0.1,0.4,926,50
IL,99.2196,0.84,0.4,927,51
MF,20.7804,0.84,0.4,927,51
IL,26.3168,0.1,0.4,928,44
MF,93.6832,0.1,0.4,928,44
IL,88.596,0.48,0.4,929,42
MF,31.404,0.48,0.4,929,42
IL,94.6264,0.69,0.4,930,49
MF,25.3736,0.69,0.4,930,49
IL,53.4012,0.45,0.4,931,48
MF,66.5988,0.45,0.4,931,48
IL,73.2328,0.64,0.4,932,43
MF,46.7672,0.64,0.4,932,43
IL,110.6076,1.0,0.4,933,43
MF,9.49878640776699,1.0,0.4,933,43
IL,88.4588,0.53,0.4,934,48
MF,31.5412,0.53,0.4,934,48
IL,90.2856,0.72,0.4,935,43
MF,29.7144,0.72,0.4,935,43
IL,105.9268,0.9,0.4,936,47
MF,14.0732,0.9,0.4,936,47
IL,105.0672,0.92,0.4,937,51
MF,14.9328,0.92,0.4,937,51
IL,107.8536,0.92,0.4,938,45
MF,12.283980582524272,0.92,0.4,938,45
IL,20.7664,0.11,0.4,939,49
MF,99.2336,0.11,0.4,939,49
IL,30.806,0.16,0.4,940,47
MF,89.194,0.16,0.4,940,47
IL,82.3676,0.66,0.4,941,50
MF,37.6324,0.66,0.4,941,50
IL,95.0076,0.66,0.4,942,44
MF,24.9924,0.66,0.4,942,44
IL,109.9464,0.86,0.4,943,42
MF,10.0536,0.86,0.4,943,42
IL,30.4092,0.24,0.4,944,45
MF,89.5908,0.24,0.4,944,45
IL,96.406,0.78,0.4,945,47
MF,23.594,0.78,0.4,945,47
IL,15.5884,0.08,0.4,946,50
MF,104.4116,0.08,0.4,946,50
IL,80.3232,0.54,0.4,947,46
MF,39.6768,0.54,0.4,947,46
IL,20.0224,0.08,0.4,948,44
MF,99.9776,0.08,0.4,948,44
IL,36.9276,0.24,0.4,949,51
MF,83.0724,0.24,0.4,949,51
IL,41.0824,0.3,0.4,950,43
MF,78.9176,0.3,0.4,950,43
IL,93.1532,0.54,0.4,951,50
MF,26.8468,0.54,0.4,951,50
IL,107.9844,0.78,0.4,952,45
MF,12.0156,0.78,0.4,952,45
IL,34.774,0.24,0.4,953,47
MF,85.226,0.24,0.4,953,47
IL,89.8348,0.78,0.4,954,51
MF,30.1652,0.78,0.4,954,51
IL,25.6364,0.08,0.4,955,46
MF,94.3636,0.08,0.4,955,46
IL,78.7032,0.54,0.4,956,44
MF,41.2968,0.54,0.4,956,44
IL,108.1968,0.95,0.4,957,49
MF,11.8032,0.95,0.4,957,49
IL,35.6248,0.16,0.4,958,45
MF,84.3752,0.16,0.4,958,45
IL,97.726,0.98,0.4,959,43
MF,22.274,0.98,0.4,959,43
IL,25.4916,0.16,0.4,960,51
MF,94.5084,0.16,0.4,960,51
IL,88.8316,0.66,0.4,961,46
MF,31.1684,0.66,0.4,961,46
IL,78.7836,0.61,0.4,962,48
MF,41.2164,0.61,0.4,962,48
IL,107.6228,0.92,0.4,963,47
MF,12.892916666666666,0.92,0.4,963,47
IL,103.0936,0.9,0.4,964,51
MF,16.9064,0.9,0.4,964,51
IL,36.99,0.23,0.4,965,49
MF,83.01,0.23,0.4,965,49
IL,110.9172,0.9,0.4,966,45
MF,9.0828,0.9,0.4,966,45
IL,10.7452,0.02,0.4,967,42
MF,109.2548,0.02,0.4,967,42
IL,61.4816,0.35,0.4,968,49
MF,58.5184,0.35,0.4,968,49
IL,34.378,0.14,0.4,969,42
MF,85.622,0.14,0.4,969,42
IL,59.612,0.38,0.4,970,43
MF,60.388,0.38,0.4,970,43
IL,29.3956,0.19,0.4,971,48
MF,90.6044,0.19,0.4,971,48
IL,96.9188,0.84,0.4,972,47
MF,23.0812,0.84,0.4,972,47
IL,71.9776,0.56,0.4,973,43
MF,48.0224,0.56,0.4,973,43
IL,30.4208,0.1,0.4,974,46
MF,89.5792,0.1,0.4,974,46
IL,92.4616,0.77,0.4,975,48
MF,27.5384,0.77,0.4,975,48
IL,78.8456,0.6,0.4,976,48
MF,41.1544,0.6,0.4,976,48
IL,105.8212,0.83,0.4,977,49
MF,14.1788,0.83,0.4,977,49
IL,55.1072,0.42,0.4,978,44
MF,64.8928,0.42,0.4,978,44
IL,48.3856,0.32,0.4,979,47
MF,71.6144,0.32,0.4,979,47
IL,70.6808,0.42,0.4,980,50
MF,49.3192,0.42,0.4,980,50
IL,65.2152,0.42,0.4,981,51
MF,54.7848,0.42,0.4,981,51
IL,26.1516,0.32,0.4,982,46
MF,93.8484,0.32,0.4,982,46
IL,55.4224,0.42,0.4,983,45
MF,64.5776,0.42,0.4,983,45
IL,103.5168,0.83,0.4,984,48
MF,16.4832,0.83,0.4,984,48
IL,71.2468,0.6,0.4,985,49
MF,48.7532,0.6,0.4,985,49
IL,89.3504,0.56,0.4,986,42
MF,30.6496,0.56,0.4,986,42
IL,91.1436,0.77,0.4,987,49
MF,28.8564,0.77,0.4,987,49
IL,23.4816,0.1,0.4,988,47
MF,96.5184,0.1,0.4,988,47
IL,109.1492,0.84,0.4,989,46
MF,10.8508,0.84,0.4,989,46
IL,59.9148,0.38,0.4,990,42
MF,60.0852,0.38,0.4,990,42
IL,45.226,0.19,0.4,991,49
MF,74.774,0.19,0.4,991,49
IL,65.1316,0.35,0.4,992,48
MF,54.8684,0.35,0.4,992,48
IL,30.3788,0.14,0.4,993,43
MF,89.6212,0.14,0.4,993,43
IL,99.3284,0.9,0.4,994,44
MF,20.6716,0.9,0.4,994,44
IL,30.8748,0.23,0.4,995,48
MF,89.1252,0.23,0.4,995,48
IL,10.3808,0.02,0.4,996,43
MF,109.6192,0.02,0.4,996,43
IL,105.0864,0.9,0.4,997,50
MF,14.9136,0.9,0.4,997,50
IL,106.2972,0.92,0.4,998,46
MF,13.7028,0.92,0.4,998,46
IL,84.6888,0.61,0.4,999,49
MF,35.3112,0.61,0.4,999,49
IL,111.9732,0.98,0.4,1000,42
MF,8.0268,0.98,0.4,1000,42
IL,80.4496,0.66,0.4,1001,47
MF,39.5504,0.66,0.4,1001,47
IL,32.4708,0.16,0.4,1002,50
MF,87.5292,0.16,0.4,1002,50
IL,27.154,0.16,0.4,1003,44
MF,92.846,0.16,0.4,1003,44
IL,107.9776,0.95,0.4,1004,48
MF,12.0224,0.95,0.4,1004,48
IL,75.5464,0.54,0.4,1005,45
MF,44.4536,0.54,0.4,1005,45
IL,18.982,0.08,0.4,1006,47
MF,101.018,0.08,0.4,1006,47
IL,83.8612,0.78,0.4,1007,50
MF,36.1388,0.78,0.4,1007,50
IL,39.1164,0.24,0.4,1008,46
MF,80.8836,0.24,0.4,1008,46
IL,104.31,0.78,0.4,1009,44
MF,15.69,0.78,0.4,1009,44
IL,92.358,0.54,0.4,1010,51
MF,27.642,0.54,0.4,1010,51
