strategy,avg_payoff,delta,kappa,seed,sim
IL,0.595093474042519,0.05,0.4,44,255
MF,0.7245705347609139,0.05,0.4,44,255
IL,0.5951409419439737,0.29,0.4,51,256
MF,0.4974518061977589,0.29,0.4,51,256
IL,0.594922151194657,0.86,0.4,48,257
MF,0.08564672897846301,0.86,0.4,48,257
IL,0.5952115993998255,0.29,0.4,45,258
MF,0.47128227267059347,0.29,0.4,45,258
IL,0.5950329428175363,0.75,0.4,47,259
MF,0.19829092354636996,0.75,0.4,47,259
IL,0.5950885536359966,0.3,0.4,49,260
MF,0.46546931863692115,0.3,0.4,49,260
IL,0.5952388787847231,0.05,0.4,50,261
MF,0.7083079726786584,0.05,0.4,50,261
IL,0.5950623121071038,0.37,0.4,46,262
MF,0.38893552353945454,0.37,0.4,46,262
IL,0.5950098663204034,0.47,0.4,51,263
MF,0.3906454192528248,0.47,0.4,51,263
IL,0.5951032381851858,0.47,0.4,45,264
MF,0.45069955167995385,0.47,0.4,45,264
IL,0.5949932581660872,0.96,0.4,48,265
MF,0.040073433786707545,0.96,0.4,48,265
IL,0.5946558186835273,0.39,0.4,51,266
MF,0.2743355402996813,0.39,0.4,51,266
IL,0.5949524386296156,0.15,0.4,44,267
MF,0.5721633535976219,0.15,0.4,44,267
IL,0.5950198540064513,0.49,0.4,46,268
MF,0.3944554342206352,0.49,0.4,46,268
IL,0.5950905307720321,0.15,0.4,50,269
MF,0.5930897025031293,0.15,0.4,50,269
IL,0.5950073265944061,0.65,0.4,47,270
MF,0.2867572352998129,0.65,0.4,47,270
IL,0.5950556347869571,0.39,0.4,45,271
MF,0.46454912966904294,0.39,0.4,45,271
IL,0.594979247047998,0.57,0.4,51,272
MF,0.3259735233320563,0.57,0.4,51,272
IL,0.5950161734187491,0.27,0.4,46,273
MF,0.5388652042823681,0.27,0.4,46,273
IL,0.5950912400509865,0.57,0.4,45,274
MF,0.3412047952901451,0.57,0.4,45,274
IL,0.5942417507912553,0.01,0.4,43,275
MF,0.7356647963547618,0.01,0.4,43,275
IL,0.5948806136002093,0.62,0.4,49,276
MF,0.2768733561672384,0.62,0.4,49,276
IL,0.5949687235514556,0.43,0.4,42,277
MF,0.4183089605575873,0.43,0.4,42,277
IL,0.5950086727808882,0.91,0.4,46,278
MF,0.053821725221564296,0.91,0.4,46,278
IL,0.5949656447362429,0.79,0.4,43,279
MF,0.1790041481058736,0.79,0.4,43,279
IL,0.5949715207270366,0.87,0.4,46,280
MF,0.10515242316270135,0.87,0.4,46,280
IL,0.5949510563138728,0.58,0.4,48,281
MF,0.28032684822398174,0.58,0.4,48,281
IL,0.5950178569323896,0.74,0.4,49,282
MF,0.24254385688037847,0.74,0.4,49,282
IL,0.5952204395740996,0.2,0.4,47,283
MF,0.5910694718681447,0.2,0.4,47,283
IL,0.5949011260341361,0.55,0.4,42,284
MF,0.3128696669031628,0.55,0.4,42,284
IL,0.5948890956167316,0.17,0.4,43,285
MF,0.5567221246849913,0.17,0.4,43,285
IL,0.5951664969908558,0.36,0.4,48,286
MF,0.5061956950592914,0.36,0.4,48,286
IL,0.5949989897807438,0.99,0.4,51,287
MF,-0.008928842609432863,0.99,0.4,51,287
IL,0.5950575512482902,0.99,0.4,45,288
MF,0.011961957430254643,0.99,0.4,45,288
IL,0.594936169728112,0.41,0.4,45,289
MF,0.4041976805527633,0.41,0.4,45,289
IL,0.5946245556008835,0.31,0.4,46,290
MF,0.31931983981549134,0.31,0.4,46,290
IL,0.594974265221001,0.41,0.4,51,291
MF,0.39215687266122046,0.41,0.4,51,291
IL,0.594940504336793,0.5,0.4,49,292
MF,0.3423244273368454,0.5,0.4,49,292
IL,0.5950066052234977,0.73,0.4,47,293
MF,0.20256782019881758,0.73,0.4,47,293
IL,0.5950503247499364,0.03,0.4,50,294
MF,0.7566282542064292,0.03,0.4,50,294
IL,0.5949805223048437,0.8,0.4,43,295
MF,0.181975919617523,0.8,0.4,43,295
IL,0.5953111242046696,0.03,0.4,44,296
MF,0.8189026649226027,0.03,0.4,44,296
IL,0.5949488932281561,0.8,0.4,42,297
MF,0.1562550060918188,0.8,0.4,42,297
IL,0.5950927669568249,0.03,0.4,45,298
MF,0.7804776270884647,0.03,0.4,45,298
IL,0.5946916740579831,0.03,0.4,51,299
MF,0.7749895720453291,0.03,0.4,51,299
IL,0.5949415724079723,0.73,0.4,46,300
MF,0.1961910410639051,0.73,0.4,46,300
IL,0.5950129264029268,0.5,0.4,48,301
MF,0.3571560751748962,0.5,0.4,48,301
IL,0.594946172782043,0.41,0.4,50,302
MF,0.35790084929121846,0.41,0.4,50,302
IL,0.5947800194949231,0.31,0.4,47,303
MF,0.46663850687535635,0.31,0.4,47,303
IL,0.5950808985131503,0.41,0.4,44,304
MF,0.4326794486921715,0.41,0.4,44,304
IL,0.5950404828989756,0.99,0.4,44,305
MF,0.014222277477536596,0.99,0.4,44,305
IL,0.5943358767921695,0.17,0.4,42,306
MF,0.40428705027507456,0.17,0.4,42,306
IL,0.5950095205064461,0.99,0.4,50,307
MF,0.03132008364872142,0.99,0.4,50,307
IL,0.595093988139465,0.36,0.4,49,308
MF,0.449047323181897,0.36,0.4,49,308
IL,0.5949988150661064,0.2,0.4,46,309
MF,0.46342343693609545,0.2,0.4,46,309
IL,0.5950529734507388,0.74,0.4,48,310
MF,0.20790105576229392,0.74,0.4,48,310
IL,0.5949613344634672,0.55,0.4,43,311
MF,0.3411952972944822,0.55,0.4,43,311
IL,0.5949460382015427,0.79,0.4,42,312
MF,0.19225890944309756,0.79,0.4,42,312
IL,0.5950415000620966,0.58,0.4,49,313
MF,0.305921506792637,0.58,0.4,49,313
IL,0.5949910493924665,0.87,0.4,47,314
MF,0.09495049173568468,0.87,0.4,47,314
IL,0.5950519951213238,0.91,0.4,47,315
MF,0.1010295066039658,0.91,0.4,47,315
IL,0.5949439987008044,0.62,0.4,48,316
MF,0.3027584603520819,0.62,0.4,48,316
IL,0.5950748683811377,0.43,0.4,43,317
MF,0.4324010141390215,0.43,0.4,43,317
IL,0.5949792751453449,0.01,0.4,42,318
MF,0.8763606767019999,0.01,0.4,42,318
IL,0.5950160508665767,0.57,0.4,44,319
MF,0.33663999456602206,0.57,0.4,44,319
IL,0.5945120985134212,0.27,0.4,47,320
MF,0.383688662495216,0.27,0.4,47,320
IL,0.5950453140515679,0.57,0.4,50,321
MF,0.35099342034012315,0.57,0.4,50,321
IL,0.5951036039963519,0.39,0.4,44,322
MF,0.4704877570253515,0.39,0.4,44,322
IL,0.594975780626068,0.65,0.4,46,323
MF,0.26232328314839076,0.65,0.4,46,323
IL,0.5949948341693925,0.15,0.4,51,324
MF,0.6321094530514031,0.15,0.4,51,324
IL,0.5951737108280356,0.49,0.4,47,325
MF,0.3658123758319947,0.49,0.4,47,325
IL,0.5949700631400636,0.15,0.4,45,326
MF,0.5470344275597719,0.15,0.4,45,326
IL,0.5950587665800011,0.39,0.4,50,327
MF,0.4096741347456984,0.39,0.4,50,327
IL,0.5950012586231455,0.96,0.4,49,328
MF,0.032748780143399464,0.96,0.4,49,328
IL,0.5949581503283348,0.49,0.4,51,329
MF,0.3312543052429405,0.49,0.4,51,329
IL,0.5949592930640948,0.65,0.4,44,330
MF,0.2721512086725585,0.65,0.4,44,330
IL,0.5950580997914988,0.39,0.4,46,331
MF,0.4511434309126136,0.39,0.4,46,331
IL,0.5950351905845795,0.65,0.4,50,332
MF,0.2857636472044173,0.65,0.4,50,332
IL,0.5950316987835588,0.15,0.4,47,333
MF,0.5792313113691443,0.15,0.4,47,333
IL,0.5950001138232763,0.49,0.4,45,334
MF,0.46129104833784323,0.49,0.4,45,334
IL,0.5953569696969696,0.0,0.4,43,335
MF,0.9889078991933873,0.0,0.4,43,335
IL,0.59505218320579,0.27,0.4,51,336
MF,0.45499750282446655,0.27,0.4,51,336
IL,0.5948579114150123,0.88,0.4,48,337
MF,0.08376507260211227,0.88,0.4,48,337
IL,0.5951653670569069,0.57,0.4,46,338
MF,0.3137085678498317,0.57,0.4,46,338
IL,0.5950143816850036,0.27,0.4,45,339
MF,0.5042904798515853,0.27,0.4,45,339
IL,0.5949267967395766,0.85,0.4,42,340
MF,0.11245634056934105,0.85,0.4,42,340
IL,0.595035173072343,0.71,0.4,43,341
MF,0.2419796430199224,0.71,0.4,43,341
IL,0.5951290726354544,0.12,0.4,49,342
MF,0.5174812547339487,0.12,0.4,49,342
IL,0.5949342811469217,0.91,0.4,45,343
MF,0.02773398795734689,0.91,0.4,45,343
IL,0.5950266111449264,0.33,0.4,42,344
MF,0.4008232440586388,0.33,0.4,42,344
IL,0.5950358789260668,0.91,0.4,51,345
MF,0.08298036631284991,0.91,0.4,51,345
IL,0.594986628868652,0.09,0.4,43,346
MF,0.6286621051838011,0.09,0.4,43,346
IL,0.5947972633962438,0.2,0.4,44,347
MF,0.57841942385648,0.2,0.4,44,347
IL,0.5949103719377559,0.87,0.4,51,348
MF,0.09992279469919793,0.87,0.4,51,348
IL,0.5949900897725368,0.28,0.4,48,349
MF,0.38664729326237207,0.28,0.4,48,349
IL,0.5953961155787109,0.2,0.4,50,350
MF,0.6382283232612028,0.2,0.4,50,350
IL,0.5950183756806489,0.87,0.4,45,351
MF,0.10226440895705602,0.87,0.4,45,351
IL,0.5952372891233922,0.04,0.4,49,352
MF,0.8063715745821877,0.04,0.4,49,352
IL,0.5949914337383413,0.25,0.4,42,353
MF,0.525635551440245,0.25,0.4,42,353
IL,0.59495353795302,0.67,0.4,43,354
MF,0.29000057942853863,0.67,0.4,43,354
IL,0.595035907976049,0.99,0.4,46,355
MF,-0.002025001142648201,0.99,0.4,46,355
IL,0.5950320997570185,0.46,0.4,48,356
MF,0.42000652384285014,0.46,0.4,48,356
IL,0.5950564268740005,0.31,0.4,45,357
MF,0.5636111592114865,0.31,0.4,45,357
IL,0.5950284899457743,0.93,0.4,42,358
MF,0.06012641611431414,0.93,0.4,42,358
IL,0.5949888565530237,0.41,0.4,46,359
MF,0.3667868866897483,0.41,0.4,46,359
IL,0.5948518457816354,0.31,0.4,51,360
MF,0.3953563305527765,0.31,0.4,51,360
IL,0.5951909752997963,0.03,0.4,47,361
MF,0.7999264250744418,0.03,0.4,47,361
IL,0.5949735484684068,0.73,0.4,50,362
MF,0.2065147494441022,0.73,0.4,50,362
IL,0.5950167187557175,0.73,0.4,44,363
MF,0.2381936928360483,0.73,0.4,44,363
IL,0.5949019480931915,0.73,0.4,45,364
MF,0.19454217569193735,0.73,0.4,45,364
IL,0.5950434316560328,0.73,0.4,51,365
MF,0.23217730745320006,0.73,0.4,51,365
IL,0.5949348446476124,0.03,0.4,46,366
MF,0.7030738961587538,0.03,0.4,46,366
IL,0.595102094036419,0.31,0.4,50,367
MF,0.4209501019484865,0.31,0.4,50,367
IL,0.5949135731073811,0.41,0.4,47,368
MF,0.3934382760097506,0.41,0.4,47,368
IL,0.5951723401560716,0.31,0.4,44,369
MF,0.5211603776007353,0.31,0.4,44,369
IL,0.5950003963915462,0.93,0.4,43,370
MF,0.08744085020555466,0.93,0.4,43,370
IL,0.5949275047708384,0.67,0.4,42,371
MF,0.2594929550992988,0.67,0.4,42,371
IL,0.5949931286208273,0.46,0.4,49,372
MF,0.4117965860296835,0.46,0.4,49,372
IL,0.5949345624571724,0.99,0.4,47,373
MF,-0.0030147763526150117,0.99,0.4,47,373
IL,0.5952472247644789,0.04,0.4,48,374
MF,0.7351284321407149,0.04,0.4,48,374
IL,0.594988350681452,0.87,0.4,44,375
MF,0.11647208027683718,0.87,0.4,44,375
IL,0.5952053011696081,0.2,0.4,51,376
MF,0.5510831652308388,0.2,0.4,51,376
IL,0.5952491207533197,0.25,0.4,43,377
MF,0.5431149885331127,0.25,0.4,43,377
IL,0.5953631423657834,0.09,0.4,42,378
MF,0.7214005549275765,0.09,0.4,42,378
IL,0.5951391169263226,0.28,0.4,49,379
MF,0.4746854380983331,0.28,0.4,49,379
IL,0.5950054152184475,0.87,0.4,50,380
MF,0.0731038379650472,0.87,0.4,50,380
IL,0.5950933002159673,0.2,0.4,45,381
MF,0.5655056464631927,0.2,0.4,45,381
IL,0.5950460259330519,0.91,0.4,50,382
MF,0.07530788927483191,0.91,0.4,50,382
IL,0.5950110203903658,0.91,0.4,44,383
MF,0.07346921752346088,0.91,0.4,44,383
IL,0.5951374916236595,0.12,0.4,48,384
MF,0.6014103468802043,0.12,0.4,48,384
IL,0.5948757554180683,0.33,0.4,43,385
MF,0.34239544374249786,0.33,0.4,43,385
IL,0.5949916712148537,0.71,0.4,42,386
MF,0.2360556188997516,0.71,0.4,42,386
IL,0.5950795706218489,0.27,0.4,44,387
MF,0.5573890837306215,0.27,0.4,44,387
IL,0.5950081473433235,0.85,0.4,43,388
MF,0.11286922098588797,0.85,0.4,43,388
IL,0.5941711207811796,0.0,0.4,42,389
MF,0.9894554580704915,0.0,0.4,42,389
IL,0.5950139846481765,0.57,0.4,47,390
MF,0.2744379820791771,0.57,0.4,47,390
IL,0.5949438119110955,0.88,0.4,49,391
MF,0.12626363077331879,0.88,0.4,49,391
IL,0.5950031262319936,0.27,0.4,50,392
MF,0.5323898519399791,0.27,0.4,50,392
IL,0.5950872397914262,0.49,0.4,44,393
MF,0.4139748238971677,0.49,0.4,44,393
IL,0.5951445237442192,0.15,0.4,46,394
MF,0.5981322230121887,0.15,0.4,46,394
IL,0.5948205081172951,0.65,0.4,51,395
MF,0.24169821239212075,0.65,0.4,51,395
IL,0.5947909822713792,0.39,0.4,47,396
MF,0.37674945747711697,0.39,0.4,47,396
IL,0.5949148802107493,0.65,0.4,45,397
MF,0.24540873249052503,0.65,0.4,45,397
IL,0.5950744986135517,0.49,0.4,50,398
MF,0.39275440420984503,0.49,0.4,50,398
IL,0.5950424232329319,0.57,0.4,43,399
MF,0.33605745024280553,0.57,0.4,43,399
IL,0.5950401002331002,0.0,0.4,46,400
MF,0.9893601210976869,0.0,0.4,46,400
IL,0.5948799393723628,0.76,0.4,48,401
MF,0.17199942955555872,0.76,0.4,48,401
IL,0.5949547922842637,0.85,0.4,47,402
MF,0.08760766264506042,0.85,0.4,47,402
IL,0.5950223029525794,0.39,0.4,43,403
MF,0.41021674580427364,0.39,0.4,43,403
IL,0.5950813002474926,0.18,0.4,48,404
MF,0.5973324690358435,0.18,0.4,48,404
IL,0.5949934587826404,0.34,0.4,49,405
MF,0.45334463171050204,0.34,0.4,49,405
IL,0.5949295539872937,0.15,0.4,42,406
MF,0.5346259479215876,0.15,0.4,42,406
IL,0.5950113371580465,0.43,0.4,50,407
MF,0.37115802364191197,0.43,0.4,50,407
IL,0.5950225226852259,0.33,0.4,47,408
MF,0.47685728151969214,0.33,0.4,47,408
IL,0.5950914962486797,0.43,0.4,44,409
MF,0.41296999007291624,0.43,0.4,44,409
IL,0.5950467865623519,0.82,0.4,49,410
MF,0.1730705249931638,0.82,0.4,49,410
IL,0.5958836046496242,0.01,0.4,45,411
MF,0.9134320796434631,0.01,0.4,45,411
IL,0.5945471644943154,0.01,0.4,51,412
MF,0.8180930983527956,0.01,0.4,51,412
IL,0.5950964755220668,0.71,0.4,46,413
MF,0.2661216059047367,0.71,0.4,46,413
IL,0.5948721378584781,0.7,0.4,48,414
MF,0.20176269757487345,0.7,0.4,48,414
IL,0.5949875095269187,0.99,0.4,43,415
MF,0.003594979742696394,0.99,0.4,43,415
IL,0.5950089713895785,0.67,0.4,46,416
MF,0.24523353196234898,0.67,0.4,46,416
IL,0.5947795606539421,0.17,0.4,51,417
MF,0.48075877420111346,0.17,0.4,51,417
IL,0.595168545136495,0.17,0.4,45,418
MF,0.5612543048039547,0.17,0.4,45,418
IL,0.5950104965293129,0.94,0.4,49,419
MF,0.05951703575677678,0.94,0.4,49,419
IL,0.5949190085785125,0.09,0.4,46,420
MF,0.5554797907056747,0.09,0.4,46,420
IL,0.5950480095941947,0.55,0.4,44,421
MF,0.3674575166724081,0.55,0.4,44,421
IL,0.595024200175972,0.79,0.4,51,422
MF,0.1667474047199747,0.79,0.4,51,422
IL,0.5950007451815806,0.79,0.4,45,423
MF,0.17496247506184326,0.79,0.4,45,423
IL,0.5952117527313515,0.25,0.4,47,424
MF,0.48957917150232727,0.25,0.4,47,424
IL,0.5949985163221215,0.55,0.4,50,425
MF,0.3662650280323193,0.55,0.4,50,425
IL,0.5949577650974753,0.22,0.4,49,426
MF,0.5112628029732096,0.22,0.4,49,426
IL,0.5950073255003383,0.8,0.4,45,427
MF,0.18271151507317296,0.8,0.4,45,427
IL,0.5949175592968973,0.03,0.4,42,428
MF,0.7301187343671499,0.03,0.4,42,428
IL,0.5950332367528448,0.8,0.4,51,429
MF,0.14995017292606538,0.8,0.4,51,429
IL,0.5949760982130956,0.93,0.4,47,430
MF,0.06722874669659117,0.93,0.4,47,430
IL,0.595003227253102,0.41,0.4,43,431
MF,0.4179840338531155,0.41,0.4,43,431
IL,0.594973894291112,0.41,0.4,42,432
MF,0.40287911825043554,0.41,0.4,42,432
IL,0.5949785661474088,0.93,0.4,46,433
MF,0.05089077947166077,0.93,0.4,46,433
IL,0.5950353702938682,0.8,0.4,50,434
MF,0.15838124717247307,0.8,0.4,50,434
IL,0.5950235262343049,0.8,0.4,44,435
MF,0.18150523673398491,0.8,0.4,44,435
IL,0.5948152444626024,0.22,0.4,48,436
MF,0.5437801399378762,0.22,0.4,48,436
IL,0.5950685387594921,0.03,0.4,43,437
MF,0.7404942671268896,0.03,0.4,43,437
IL,0.5950601406392921,0.55,0.4,51,438
MF,0.31562237194279935,0.55,0.4,51,438
IL,0.594975752976499,0.25,0.4,46,439
MF,0.5402443667461612,0.25,0.4,46,439
IL,0.5949527073984258,0.79,0.4,44,440
MF,0.1764954008992143,0.79,0.4,44,440
IL,0.5949281738758226,0.79,0.4,50,441
MF,0.17008259759018052,0.79,0.4,50,441
IL,0.5948770061659736,0.55,0.4,45,442
MF,0.3027797270788915,0.55,0.4,45,442
IL,0.5947803105662317,0.09,0.4,47,443
MF,0.5267964680146889,0.09,0.4,47,443
IL,0.5950176508035534,0.94,0.4,48,444
MF,0.0457231613833139,0.94,0.4,48,444
IL,0.5953704763266583,0.17,0.4,44,445
MF,0.5772606786204664,0.17,0.4,44,445
IL,0.5949401035200855,0.99,0.4,42,446
MF,-0.008312354053552264,0.99,0.4,42,446
IL,0.5952297047722965,0.17,0.4,50,447
MF,0.5916909952431886,0.17,0.4,50,447
IL,0.5950438768396852,0.67,0.4,47,448
MF,0.2597257304333205,0.67,0.4,47,448
IL,0.5950477318762735,0.7,0.4,49,449
MF,0.22545814132440742,0.7,0.4,49,449
IL,0.5950865144342473,0.71,0.4,47,450
MF,0.28543272588819874,0.71,0.4,47,450
IL,0.5954369182293454,0.01,0.4,50,451
MF,0.9142078230787234,0.01,0.4,50,451
IL,0.5948114764626498,0.01,0.4,44,452
MF,0.9130415690672192,0.01,0.4,44,452
IL,0.5950401674899157,0.82,0.4,48,453
MF,0.15677122217780776,0.82,0.4,48,453
IL,0.5950321091321266,0.43,0.4,45,454
MF,0.40129451876495187,0.43,0.4,45,454
IL,0.5949096189913127,0.33,0.4,46,455
MF,0.40135579288892925,0.33,0.4,46,455
IL,0.595047991843856,0.43,0.4,51,456
MF,0.407320379601915,0.43,0.4,51,456
IL,0.5948995446995031,0.34,0.4,48,457
MF,0.43960558776630515,0.34,0.4,48,457
IL,0.5949162799638263,0.15,0.4,43,458
MF,0.5868236110299566,0.15,0.4,43,458
IL,0.5949501598171354,0.39,0.4,42,459
MF,0.40891221288210156,0.39,0.4,42,459
IL,0.5948925692627028,0.18,0.4,49,460
MF,0.558066141083396,0.18,0.4,49,460
IL,0.595011091677266,0.85,0.4,46,461
MF,0.08024143799820921,0.85,0.4,46,461
IL,0.5950704980603859,0.57,0.4,42,462
MF,0.33839950337920366,0.57,0.4,42,462
IL,0.5949088499288947,0.76,0.4,49,463
MF,0.213670013115772,0.76,0.4,49,463
IL,0.5948690294411471,0.0,0.4,47,464
MF,0.9880483019291456,0.0,0.4,47,464
IL,0.5949536397202274,0.27,0.4,43,465
MF,0.48725900035452496,0.27,0.4,43,465
IL,0.595188210601815,0.06,0.4,48,466
MF,0.7269543134512794,0.06,0.4,48,466
IL,0.5953733755223105,0.0,0.4,51,467
MF,0.9849164868558926,0.0,0.4,51,467
IL,0.5949302978036314,0.85,0.4,44,468
MF,0.09118928910265768,0.85,0.4,44,468
IL,0.5948633861875998,0.0,0.4,45,469
MF,0.9860520183801853,0.0,0.4,45,469
IL,0.5949971800383586,0.85,0.4,50,470
MF,0.10196028982127098,0.85,0.4,50,470
IL,0.5950338824823747,0.49,0.4,43,471
MF,0.3366905692963474,0.49,0.4,43,471
IL,0.5950726220410938,0.68,0.4,48,472
MF,0.3033731850788896,0.68,0.4,48,472
IL,0.5950718018038488,0.44,0.4,49,473
MF,0.39151873636018775,0.44,0.4,49,473
IL,0.5950000890084655,0.65,0.4,42,474
MF,0.2768292649423292,0.65,0.4,42,474
IL,0.5948439786311804,0.33,0.4,50,475
MF,0.3666796446286505,0.33,0.4,50,475
IL,0.5950645759314469,0.43,0.4,47,476
MF,0.3853767510503618,0.43,0.4,47,476
IL,0.5950008345924598,0.91,0.4,43,477
MF,0.09230140138497038,0.91,0.4,43,477
IL,0.5951573334370749,0.33,0.4,44,478
MF,0.4575005090997151,0.33,0.4,44,478
IL,0.594945078278344,0.71,0.4,45,479
MF,0.1935719650305291,0.71,0.4,45,479
IL,0.595048323725294,0.71,0.4,51,480
MF,0.20902941861665114,0.71,0.4,51,480
IL,0.595156436368585,0.01,0.4,46,481
MF,0.8953662580835892,0.01,0.4,46,481
IL,0.5950874471403356,0.17,0.4,46,482
MF,0.5777460328573552,0.17,0.4,46,482
IL,0.5950258451266169,0.67,0.4,51,483
MF,0.2714049622327421,0.67,0.4,51,483
IL,0.5950766513121342,0.67,0.4,45,484
MF,0.29435984484167915,0.67,0.4,45,484
IL,0.5950171199731614,0.87,0.4,43,485
MF,0.11907461806596928,0.87,0.4,43,485
IL,0.5950276943093878,0.79,0.4,46,486
MF,0.17279917162955163,0.79,0.4,46,486
IL,0.5946945047944994,0.25,0.4,44,487
MF,0.4055527985419437,0.25,0.4,44,487
IL,0.594861086876266,0.09,0.4,51,488
MF,0.6519571005078753,0.09,0.4,51,488
IL,0.595182298109114,0.09,0.4,45,489
MF,0.6476856570978551,0.09,0.4,45,489
IL,0.5949447169400739,0.55,0.4,47,490
MF,0.29566403485074344,0.55,0.4,47,490
IL,0.594971993330795,0.25,0.4,50,491
MF,0.5357222207208376,0.25,0.4,50,491
IL,0.5949734909336639,0.2,0.4,42,492
MF,0.46183240145170384,0.2,0.4,42,492
IL,0.5950116247431676,0.52,0.4,49,493
MF,0.3455881231737716,0.52,0.4,49,493
IL,0.5950183811741517,0.73,0.4,42,494
MF,0.27344446088843527,0.73,0.4,42,494
IL,0.594966142899358,0.8,0.4,46,495
MF,0.15662309440033623,0.8,0.4,46,495
IL,0.5950544931163271,0.93,0.4,50,496
MF,0.06895076714479191,0.93,0.4,50,496
IL,0.5949427735955312,0.31,0.4,43,497
MF,0.3749951599538817,0.31,0.4,43,497
IL,0.5949493602619701,0.93,0.4,44,498
MF,0.051578591894460284,0.93,0.4,44,498
IL,0.5950636766241251,0.31,0.4,42,499
MF,0.4352771039579102,0.31,0.4,42,499
IL,0.5949429608772241,0.93,0.4,45,500
MF,0.06590519364399065,0.93,0.4,45,500
IL,0.595052810392456,0.93,0.4,51,501
MF,0.09344143309943427,0.93,0.4,51,501
IL,0.5950605333391504,0.8,0.4,47,502
MF,0.16214581890785576,0.8,0.4,47,502
IL,0.5950997777496769,0.52,0.4,48,503
MF,0.4176514431573747,0.52,0.4,48,503
IL,0.5951017780980109,0.73,0.4,43,504
MF,0.23607471088175994,0.73,0.4,43,504
IL,0.5950587898262761,0.25,0.4,51,505
MF,0.4979639423337517,0.25,0.4,51,505
IL,0.5950074651310792,0.55,0.4,46,506
MF,0.3230446523761005,0.55,0.4,46,506
